cie_code,cie_name
A081,GASTROENTEROPATÍA AGUDA DEBIDA AL AGENTE DE NORWALK
A082,ENTERITIS DEBIDA A ADENOVIRUS
A083,OTRAS ENTERITIS VIRALES
A084,"INFECCIÓN INTESTINAL VIRAL, SIN OTRA ESPECIFICACIÓN"
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS
A09,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO
A090,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO
A099,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO
A09X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A15,"TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE"
A150,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR HALLAZGO MICROSCÓPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO"
A151,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA ÚNICAMENTE POR CULTIVO"
A152,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA HISTOLÓGICAMENTE"
A153,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS"
A154,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE"
A155,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE"
A156,"PLEURESÍA TUBERCULOSA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE"
A157,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE"
A158,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLÓGICA E HISTOLÓGICAMENTE"
A159,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE"
A16,"TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLÓGICA O HISTOLÓGICAMENTE"
A160,"TUBERCULOSIS DEL PULMÓN, CON EXAMEN BACTERIOLÓGICO E HISTOLÓGICO NEGATIVOS"
A161,"TUBERCULOSIS DE PULMÓN, SIN EXAMEN BACTERIOLÓGICO E HISTOLÓGICO"
A162,"TUBERCULOSIS DE PULMÓN, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA"
A163,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA"
A164,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA"
A165,"PLEURESÍA TUBERCULOSA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA"
A167,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA"
A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCIÓN DE CONFIRMACIÓN"
A169,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA"
A17,TUBERCULOSIS DEL SISTEMA NERVIOSO
A170,MENINGITIS TUBERCULOSA
A171,TUBERCULOMA MENÍNGEO
A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A179,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA"
A18,TUBERCULOSIS DE OTROS ÓRGANOS
A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A181,TUBERCULOSIS DEL APARATO GENITOURINARIO
A182,LINFADENOPATÍA PERIFÉRICA TUBERCULOSA
A183,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTÉRICOS"
A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTÁNEO
A185,TUBERCULOSIS DEL OJO
A186,TUBERCULOSIS DEL OÍDO
A187,TUBERCULOSIS DE GLÁNDULAS SUPRARRENALES
A188,TUBERCULOSIS DE OTROS ÓRGANOS ESPECIFICADOS
A19,TUBERCULOSIS MILIAR
A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO
A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MÚLTIPLES
A192,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA"
A198,OTRAS TUBERCULOSIS MILIARES
A199,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACIÓN"
A20,PESTE
A200,PESTE BUBÓNICA
A201,PESTE CELULOCUTÁNEA
A202,PESTE NEUMÓNICA
A203,MENINGITIS POR PESTE
A207,PESTE SEPTICÉMICA
A208,OTRAS FORMAS DE PESTE
A209,"PESTE, NO ESPECIFICADA"
A21,TULAREMIA
A210,TULAREMIA ULCEROGLANDULAR
A211,TULAREMIA OCULOGLANDULAR
A212,TULAREMIA PULMONAR
A213,TULAREMIA GASTROINTESTINAL
A217,TULAREMIA GENERALIZADA
A218,OTRAS FORMAS DE TULAREMIA
A219,"TULAREMIA, NO ESPECIFICADA"
A22,CARBUNCO [ÁNTRAX]
A220,CARBUNCO CUTÁNEO
A221,CARBUNCO PULMONAR
A222,CARBUNCO GASTROINTESTINAL
A227,CARBUNCO SÉPTICO
A228,OTRAS FORMAS DE CARBUNCO
A229,"CARBUNCO, NO ESPECIFICADO"
A23,BRUCELOSIS
A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS
A238,OTRAS BRUCELOSIS
A239,"BRUCELOSIS, NO ESPECIFICADA"
A24,MUERMO Y MELIOIDOSIS
A240,MUERMO
A241,MELIOIDOSIS AGUDA Y FULMINANTE
A242,MELIOIDOSIS SUBAGUDA Y CRÓNICA
A243,OTRAS MELIOIDOSIS
A244,"MELIOIDOSIS, NO ESPECIFICADA"
A25,FIEBRE POR MORDEDURA DE RATA
A250,ESPIRILOSIS
A251,ESTREPTOBACILOSIS
A259,"FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA"
A26,ERISIPELOIDE
A260,ERISIPELOIDE CUTÁNEO
A267,SEPSIS POR ERYSIPELOTHRIX
A268,OTRAS FORMAS DE ERISIPELOIDE
A269,"ERISIPELOIDE, NO ESPECIFICADA"
A27,LEPTOSPIROSIS
A270,LEPTOSPIROSIS ICTEROHEMORRÁGICA
A278,OTRAS FORMAS DE LEPTOSPIROSIS
A279,"LEPTOSPIROSIS, NO ESPECIFICADA"
A28,"OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE"
A280,PASTEURELOSIS
A281,ENFERMEDAD POR RASGUÑO DE GATO
A282,YERSINIOSIS EXTRAINTESTINAL
A288,"OTRAS ENFERMEDADES ZOONÓTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE"
A289,"ENFERMEDAD ZOONÓTICA BACTERIANA, SIN OTRA ESPECIFICACIÓN"
A30,LEPRA [ENFERMEDAD DE HANSEN]
A300,LEPRA INDETERMINADA
A301,LEPRA TUBERCULOIDE
A302,LEPRA TUBERCULOIDE LIMÍTROFE
A303,LEPRA LIMÍTROFE
A304,LEPRA LEPROMATOSA LIMÍTROFE
A305,LEPRA LEPROMATOSA
A308,OTRAS FORMAS DE LEPRA
A309,"LEPRA, NO ESPECIFICADA"
A31,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A310,INFECCIONES POR MICOBACTERIAS PULMONARES
A311,INFECCIÓN CUTÁNEA POR MICOBACTERIAS
A318,OTRAS INFECCIONES POR MICOBACTERIAS
A319,"INFECCIÓN POR MICOBACTERIA, NO ESPECIFICADA"
A32,LISTERIOSIS
A320,LISTERIOSIS CUTÁNEA
A321,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA
A327,SEPSIS LISTERIANA
A328,OTRAS FORMAS DE LISTERIOSIS
A329,"LISTERIOSIS, NO ESPECIFICADA"
A33X,TÉTANOS NEONATAL
A34X,TÉTANOS OBSTÉTRICO
A35X,OTROS TÉTANOS
A36,DIFTERIA
A360,DIFTERIA FARÍNGEA
A361,DIFTERIA NASOFARÍNGEA
A362,DIFTERIA LARÍNGEA
A363,DIFTERIA CUTÁNEA
A368,OTRAS DIFTERIAS
A369,"DIFTERIA, NO ESPECIFICADA"
A37,TOS FERINA [TOS CONVULSIVA]
A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS
A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS
A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA
A379,"TOS FERINA, NO ESPECIFICADA"
A38X,ESCARLATINA
A39,ENFERMEDAD MENINGOCÓCICA
A390,MENINGITIS MENINGOCÓCICA
A391,SÍNDROME DE WATERHOUSE-FRIDERICHSEN
A392,MENINGOCOCEMIA AGUDA
A393,MENINGOCOCEMIA CRÓNICA
A394,"MENINGOCOCEMIA, NO ESPECIFICADA"
A395,ENFERMEDAD CARDÍACA DEBIDA A MENINGOCOCO
A398,OTRAS FORMAS DE ENFERMEDAD MENINGOCÓCICA
A399,"ENFERMEDAD MENINGOCÓCICA, NO ESPECIFICADA"
A40,SEPSIS ESTREPTOCÓCICA
A400,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO A"
A401,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO B"
A402,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO D Y ENTEROCOCO"
A403,SEPSIS DEBIDA A STREPTOCOCCUS PNEUMONIAE
A408,OTRAS SEPSIS ESTREPTOCÓCICAS
A409,"SEPSIS ESTREPTOCÓCICA, NO ESPECIFICADA"
A41,OTRAS SEPSIS
A410,SEPSIS DEBIDA A STAPHYLOCOCCUS AUREUS
A411,SEPSIS DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO
A412,SEPSIS DEBIDA A ESTAFILOCOCO NO ESPECIFICADO
A413,SEPSIS DEBIDA A HAEMOPHILUS INFLUENZAE
A414,SEPSIS DEBIDA A ANAEROBIOS
A415,SEPSIS DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS
A418,OTRAS SEPSIS ESPECIFICADAS
A419,"SEPSIS, NO ESPECIFICADA"
A42,ACTINOMICOSIS
A420,ACTINOMICOSIS PULMONAR
A421,ACTINOMICOSIS ABDOMINAL
A422,ACTINOMICOSIS CERVICOFACIAL
A427,SEPSIS ACTINOMICÓTICA
A428,OTRAS FORMAS DE ACTINOMICOSIS
A429,"ACTINOMICOSIS, SIN OTRA ESPECIFICACIÓN"
A43,NOCARDIOSIS
A430,NOCARDIOSIS PULMONAR
A431,NOCARDIOSIS CUTÁNEA
A438,OTRAS FORMAS DE NOCARDIOSIS
A439,"NOCARDIOSIS, NO ESPECIFICADA"
A44,BARTONELOSIS
A440,BARTONELOSIS SISTÉMICA
A441,BARTONELOSIS CUTÁNEA Y MUCOCUTÁNEA
A448,OTRAS FORMAS DE BARTONELOSIS
A449,"BARTONELOSIS, NO ESPECIFICADA"
A46X,ERISIPELA
A48,"OTRAS ENFERMEDADES BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE"
A480,GANGRENA GASEOSA
A481,ENFERMEDAD DE LOS LEGIONARIOS
A482,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMÓNICA (FIEBRE DE PONTIAC)
A483,SÍNDROME DEL CHOQUE TÓXICO
A484,FIEBRE PURPÚRICA BRASILEÑA
A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
A49,INFECCIÓN BACTERIANA DE SITIO NO ESPECIFICADO
A490,"INFECCIÓN ESTAFILOCÓCICA, SITIO NO ESPECIFICADO"
A491,INFECCIÓN ESTREPTOCÓCICA Y ENTEROCÓCICA DE SITIO NO ESPECIFICADO
A492,"INFECCIÓN POR HAEMOPHILUS INFLUENZAE, SITIO NO ESPECIFICADO"
A493,"INFECCIÓN POR MICOPLASMA, SITIO NO ESPECIFICADO"
A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
A499,"INFECCIÓN BACTERIANA, NO ESPECIFICADA"
A50,SÍFILIS CONGÉNITA
A500,"SÍFILIS CONGÉNITA PRECOZ, SINTOMÁTICA"
A501,"SÍFILIS CONGÉNITA PRECOZ, LATENTE"
A502,"SÍFILIS CONGÉNITA PRECOZ, SIN OTRA ESPECIFICACIÓN"
A503,OCULOPATÍA SIFILÍTICA CONGÉNITA TARDÍA
A504,NEUROSÍFILIS CONGÉNITA TARDÍA [NEUROSÍFILIS JUVENIL]
A505,"OTRAS FORMAS DE SÍFILIS CONGÉNITA TARDÍA, SINTOMÁTICA"
A506,"SÍFILIS CONGÉNITA TARDÍA, LATENTE"
A507,"SÍFILIS CONGÉNITA TARDÍA, SIN OTRA ESPECIFICACIÓN"
A509,"SÍFILIS CONGÉNITA, SIN OTRA ESPECIFICACIÓN"
A51,SÍFILIS PRECOZ
A510,SÍFILIS GENITAL PRIMARIA
A511,SÍFILIS PRIMARIA ANAL
A512,SÍFILIS PRIMARIA EN OTROS SITIOS
A513,SÍFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS
A514,OTRAS SÍFILIS SECUNDARIAS
A515,"SÍFILIS PRECOZ, LATENTE"
A519,"SÍFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN"
A52,SÍFILIS TARDÍA
A520,SÍFILIS CARDIOVASCULAR
A521,NEUROSÍFILIS SINTOMÁTICA
A522,NEUROSÍFILIS ASINTOMÁTICA
A523,NEUROSÍFILIS NO ESPECIFICADA
A527,OTRAS SÍFILIS TARDÍAS SINTOMÁTICAS
A528,"SÍFILIS TARDÍA, LATENTE"
A529,"SÍFILIS TARDÍA, NO ESPECIFICADA"
A53,OTRAS SÍFILIS Y LAS NO ESPECIFICADAS
A530,"SÍFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDÍA"
A539,"SÍFILIS, NO ESPECIFICADA"
A54,INFECCIÓN GONOCÓCICA
A540,INFECCIÓN GONOCÓCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL Y DE GLÁNDULA ACCESORIA
A541,INFECCIÓN GONOCÓCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLÁNDULAS ACCESORIAS
A542,PELVIPERITONITIS GONOCÓCICA Y OTRAS INFECCIONES GONOCÓCICAS GENITOURINARIAS
A543,INFECCIÓN GONOCÓCICA DEL OJO
A544,INFECCIÓN GONOCÓCICA DEL SISTEMA OSTEOMUSCULAR
A545,FARINGITIS GONOCÓCICA
A546,INFECCIÓN GONOCÓCICA DEL ANO Y DEL RECTO
A548,OTRAS INFECCIONES GONOCÓCICAS
A549,"INFECCIÓN GONOCÓCICA, NO ESPECIFICADA"
A55X,LINFOGRANULOMA (VENÉREO) POR CLAMIDIAS
A56,OTRAS ENFERMEDADES DE TRANSMISIÓN SEXUAL DEBIDAS A CLAMIDIAS
A560,INFECCIÓN DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS
A561,INFECCIÓN DEL PELVIPERITONEO Y OTROS ÓRGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS
A562,"INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS, SIN OTRA ESPECIFICACIÓN"
A563,INFECCIÓN DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS
A564,INFECCIÓN DE FARINGE DEBIDA A CLAMIDIAS
A568,INFECCIÓN DE TRANSMISIÓN SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS
A57X,CHANCRO BLANDO
A58X,GRANULOMA INGUINAL
A59,TRICOMONIASIS
A590,TRICOMONIASIS UROGENITAL
A598,TRICOMONIASIS DE OTROS SITOS
A599,"TRICOMONIASIS, NO ESPECIFICADA"
A60,INFECCIÓN ANOGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
A600,INFECCIÓN DE GENITALES Y TRAYECTO UROGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
A601,INFECCIÓN DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE
A609,"INFECCIÓN ANOGENITAL POR VIRUS DEL HERPES SIMPLE, SIN OTRA ESPECIFICACIÓN"
A63,"OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, NO CLASIFICADAS EN OTRA PARTE"
A630,VERRUGAS (VENÉREAS) ANOGENITALES
A638,"OTRAS ENFERMEDADES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL, ESPECIFICADAS"
A64X,ENFERMEDAD DE TRANSMISIÓN SEXUAL NO ESPECIFICADA
A65X,SÍFILIS NO VENÉREA
A66,FRAMBESIA
A660,LESIONES INICIALES DE FRAMBESIA
A661,LESIONES PAPILOMATOSAS MÚLTIPLES Y FRAMBESIA CON PASO DE CANGREJO
A662,OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA
A663,HIPERQUERATOSIS DE FRAMBESIA
A664,GOMA Y ÚLCERAS DE FRAMBESIA
A665,GANGOSA
A666,LESIONES FRAMBÉSICAS DE LOS HUESOS Y DE LAS ARTICULACIONES
A667,OTRAS MANIFESTACIONES DE FRAMBESIA
A668,FRAMBESIA LATENTE
A669,"FRAMBESIA, NO ESPECIFICADA"
A67,PINTA [CARATE]
A670,LESIONES PRIMARIAS DE LA PINTA
A671,LESIONES INTERMEDIAS DE LA PINTA
A672,LESIONES TARDÍAS DE LA PINTA
A673,LESIONES MIXTAS DE LA PINTA
A679,"PINTA, NO ESPECIFICADA"
A68,FIEBRES RECURRENTES
A680,FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS
A681,FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS
A689,"FIEBRE RECURRENTE, NO ESPECIFICADA"
A69,OTRAS INFECCIONES CAUSADAS POR ESPIROQUETAS
A690,ESTOMATITIS ULCERATIVA NECROTIZANTE
A691,OTRAS INFECCIONES DE VINCENT
A692,ENFERMEDAD DE LYME
A698,OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS
A699,"INFECCIÓN POR ESPIROQUETA, NO ESPECIFICADA"
A70X,INFECCION DEBIDA A CHLAMYDIA PSITTACI
A71,TRACOMA
A710,ESTADO INICIAL DE TRACOMA
A711,ESTADO ACTIVO DE TRACOMA
A719,"TRACOMA, NO ESPECIFICADO"
A74,OTRAS ENFERMEDADES CAUSADAS POR CLAMIDIAS
A740,CONJUNTIVITIS POR CLAMIDIAS
A748,OTRAS ENFERMEDADES POR CLAMIDIAS
A749,"INFECCIÓN POR CLAMIDIAS, NO ESPECIFICADA"
A75,TIFUS
A750,TIFUS EPIDÉMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS
A751,TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL]
A752,TIFUS DEBIDO A RICKETTSIA TYPHI
A753,TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI
A759,"TIFUS, NO ESPECIFICADO"
A77,FIEBRE MACULOSA [RICKETTSIOSIS TRANSMITIDA POR GARRAPATAS]
A770,FIEBRE MACULOSA DEBIDA A RICKETTSIA RICKETTSII
A771,FIEBRE MACULOSA DEBIDA A RICKETTSIA CONORII
A772,FIEBRE MACULOSA DEBIDA A RICKETTSIA SIBERICA
A773,FIEBRE MACULOSA DEBIDA A RICKETTSIA AUSTRALIS
A778,OTRAS FIEBRES MACULOSAS
A779,"FIEBRE MACULOSA, NO ESPECIFICADA"
A78X,FIEBRE Q
A79,OTRAS RICKETTSIOSIS
A790,FIEBRE DE LAS TRINCHERAS
A791,RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI
A798,OTRAS RICKETTSIOSIS ESPECIFICADAS
A799,"RICKETTSIOSIS, NO ESPECIFICADA"
A80,POLIOMIELITIS AGUDA
A800,"POLIOMIELITIS AGUDA PARALÍTICA, ASOCIADA A VACUNA"
A801,POLIOMIELITIS AGUDA PARALÍTICA DEBIDA A VIRUS SALVAJE IMPORTADO
A802,POLIOMIELITIS AGUDA PARALÍTICA DEBIDA A VIRUS SALVAJE AUTÓCTONO
A803,OTRAS POLIOMIELITIS AGUDAS PARALÍTICAS Y LAS NO ESPECIFICADAS
A804,POLIOMIELITIS AGUDA NO PARALÍTICA
A809,"POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACIÓN"
A81,INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATÍPICO
A810,ENFERMEDAD DE CREUTZFELDT-JAKOB
A811,PANENCEFALITIS ESCLEROSANTE SUBAGUDA
A812,LEUCOENCEFALOPATÍA MULTIFOCAL PROGRESIVA
A818,OTRAS INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATÍPICO
A819,"INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATÍPICO, SIN OTRA ESPECIFICACIÓN"
A82,RABIA
A820,RABIA SELVÁTICA
A821,RABIA URBANA
A829,"RABIA, SIN OTRA ESPECIFICACIÓN"
A83,ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS
A830,ENCEFALITIS JAPONESA
A831,ENCEFALITIS EQUINA DEL OESTE
A832,ENCEFALITIS EQUINA DEL ESTE
A833,ENCEFALITIS DE SAN LUIS
A834,ENCEFALITIS AUSTRALIANA
A835,ENCEFALITIS DE CALIFORNIA
A836,ENFERMEDAD POR VIRUS ROCÍO
A838,OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS
A839,"ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS, SIN OTRA ESPECIFICACIÓN"
A84,ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS
A840,ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL RUSA]
A841,ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS
A848,OTRAS ENCEFALITIS VIRALES TRANSMITIDA POR GARRAPATAS
A849,"ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS, SIN OTRA ESPECIFICACIÓN"
A85,"OTRAS ENCEFALITIS VIRALES, NO CLASIFICADAS EN OTRA PARTE"
A850,ENCEFALITIS ENTEROVIRAL
A851,ENCEFALITIS POR ADENOVIRUS
A852,"ENCEFALITIS VIRAL TRANSMITIDA POR ARTRÓPODOS, SIN OTRA ESPECIFCACIÓN"
A858,OTRAS ENCEFALITIS VIRALES ESPECIFCADAS
A86X,"ENCEFALITIS VIRAL, NO ESPECIFICADA"
A87,MENINGITIS VIRAL
A870,MENINGITIS ENTEROVIRAL
A871,MENINGITIS DEBIDA A ADENOVIRUS
A872,CORIOMENINGITIS LINFOCÍTICA
A878,OTRAS MENINGITIS VIRALES
A879,"MENINGITIS VIRAL, SIN OTRA ESPECIFICACIÓN"
A88,"OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL, NO CLASIFICADAS EN OTRA PARTE"
